id,name,age,coordinates
1,Name_1,59,"-58.864267,-26.006171"
2,Name_2,41,"53.158188,-80.881516"
3,Name_3,60,"6.30352,84.26717"
4,Name_4,31,"-77.74585,-17.733313"
5,Name_5,25,"-55.804652,-67.232733"
6,Name_6,18,"7.033113,-151.167061"
7,Name_7,20,-52.233306;-103.522075
8,Name_8,55,"-53.457944,115.192774"
9,Name_9,18,"43.355341,-23.904531"
10,Name_10,56,"-63.226015,72.697321"
11,Name_11,56,"34.239137,-130.636415"
12,Name_12,37,"-70.898805,-58.252003"
13,Name_13,51,"18.383479,59.587495"
14,Name_14,18,"3.831712,-103.932911"
15,Name_15,23,"-57.399344,-178.020949"
16,Name_16,23,"75.290049,152.596512"
17,Name_17,50,"83.395722,113.682915"
18,Name_18,56,"67.621952,72.778498"
19,Name_19,34,"-49.696996,-38.614218"
20,Name_20,19,"-82.470828,-80.914611"
21,Name_21,45,"-33.884381,166.363057"
22,Name_22,34,"-4.746431,43.220295"
23,Name_23,31,"11.860382,-21.333425"
24,Name_24,29,88.64524;29.755341
25,Name_25,25,"-33.445782,127.712435"
26,Name_26,50,"55.828672,-125.539578"
27,Name_27,50,"23.000684,22.83064"
28,Name_28,22,"72.156183,-77.107525"
29,Name_29,39,"66.316418,-35.172025"
30,Name_30,21,"-31.335407,5.131986"
31,Name_31,55,"68.250548,71.627914"
32,Name_32,34,"-77.606809,-150.557599"
33,Name_33,22,"-7.310169,-66.764709"
34,Name_34,30,"62.758794,16.814248"
35,Name_35,35,"-53.388381,176.242504"
36,Name_36,27,"43.850027,57.343138"
37,Name_37,46,"-192.871772,-109.647734"
38,Name_38,25,"43.991353,84.906741"
39,Name_39,49,"88.287048,29.452858"
40,Name_40,23,9.094456;-6.116901
41,Name_41,49,"2.57584,-121.833101"
42,Name_42,22,"73.222423,44.972726"
43,Name_43,34,"2.430579,83.853716"
44,Name_44,29,"-19.290991,140.657023"
45,Name_45,26,"-43.721262,-109.354842"
46,Name_46,32,"-40.265634,-93.172176"
47,Name_47,26,"41.124919,110.315888"
48,Name_48,47,"27.100226,-55.133856"
49,Name_49,28,"-172.743546,-144.214663"
50,Name_50,47,"62.338347,-56.441943"
51,Name_51,35,"53.67606,4.59427"
52,Name_52,27,"-20.079659,-21.791787"
53,Name_53,22,"70.001386,-166.818015"
54,Name_54,55,"-65.512385,170.401463"
55,Name_55,36,60.243768;135.671884
56,Name_56,24,"14.826695,56.846383"
57,Name_57,25,"-24.785145,137.236218"
58,Name_58,32,"44.744908,-74.763419"
59,Name_59,33,"-10.022118,169.313234"
60,Name_60,44,88.289456;-126.577221
61,Name_61,45,"86.659421,-95.473781"
62,Name_62,40,"70.413251,-124.818185"
63,Name_63,37,-2.674819;-133.126988
64,Name_64,24,"-17.718632,-12.42678"
65,Name_65,20,"-55.381125,23.804653"
66,Name_66,57,61.100224;-25.480051
67,Name_67,26,"77.824365,-102.379702"
68,Name_68,18,"-72.117263,-111.837167"
69,Name_69,24,"1.585181,-95.190136"
70,Name_70,24,"76.989153,-78.783246"
71,Name_71,20,"12.650104,-185.635603"
72,Name_72,38,"11.380336,-96.570557"
73,Name_73,46,"-69.378031,75.471186"
74,Name_74,47,"13.343641,29.321984"
75,Name_75,28,"53.288272,-166.613396"
76,Name_76,46,"-78.993979,151.559032"
77,Name_77,22,"1.182736,44.997588"
78,Name_78,30,"-35.166735,-120.863061"
79,Name_79,36,"-17.92606,104.909384"
80,Name_80,52,"48.034778,-136.891117"
81,Name_81,45,"25.733643,-157.869046"
82,Name_82,39,"-78.109621,59.17361"
83,Name_83,18,"-24.267277,-80.173262"
84,Name_84,20,"33.563705,61.599668"
85,Name_85,53,"24.96738,-126.929014"
86,Name_86,47,"11.287369,33.448819"
87,Name_87,59,"54.595618,125.445012"
88,Name_88,47,"-85.310097,142.949506"
89,Name_89,34,"-32.743482,-159.350918"
90,Name_90,26,"-13.810247,34.77668"
91,Name_91,40,"87.156053,-139.255768"
92,Name_92,20,"-88.688207,-51.627177"
93,Name_93,41,"-86.952665,-93.212477"
94,Name_94,34,"-9.090211,-243.56023"
95,Name_95,35,"17.869305,-123.503285"
96,Name_96,34,"28.392215,-21.616628"
97,Name_97,19,"-33.204482,59.858648"
98,Name_98,56,"41.795974,93.779145"
99,Name_99,58,"89.29258,82.958127"
100,Name_100,31,"20.876761,174.398212"
